0x836a5e9E20eB3bD414B6c240079fd948886A5d0e,1875000
0xE9545ff2250980D4Db57F4790a7A1cd732e2354E,125000
0x38A78F726660a57C1F24a0eFb9335AD1Ca3f4BAe,200000
0x43BC45bE9cba81F2dc29700D79704cAd69f28b9F,1250000
0x337a3008202e7cf3eec0537569e38357c220dc19,1250000
0x2f1e68ce2755ceda3cd322db7b3a04b8547fcd9a,1250000
0xa4b7dfcbdda6a8d0e23a34475f249dec7734a1d2,1250000
0xadadf195146860b61b45525f44d2fd381754738d,1250000
0xa6c23e20a2d8ca6764183ca71687de8b690ad546,125000
0xf2f4b2eb2846bd1952ee9e91b0f7e486f00737b3,125000
0x3c6A5D0dA06929141aA8170d139300ca47C46608,518750
0xd013038afa30b1b836fcf9a3438621cf74ec501f,625000
0x1639091781a273d260247Ec8Ddb50F52BE6108D6,500000
0x6E3D7b890aDAc232cE89C8cdfe8B4329E4bef2F9,1875000
